ID_caperpin;Title;Client_type;Age;Flag_e-mail_deposited;Flag_mobile_deposited;Number_contractual_relationships;Customer_for_years;Minimum_contract_term;Maximum_contract_term;Credit_rating_score;Credit_rating_traffic_light;Total_consumption;Open_item_amount;Flag_advertising_permission_e-mail;Flag_advertising_permission_post;Flag_advertising_permission_telephone;OptIn_data_protection_regulations;OptIn_newsletter;Vorteilswelt_customer_since;Factor_subsequent_payment;Flag_invoice_shock;Flag_cancellation;Sum_contribution_margin_2
300000;Frau;N;88;0;0;1;14;-;-;-;-;739,9;-;0;0;0;-;-;-;-1,066785714;0;0;45,002641
300001;Herrn;N;74;0;0;5;14;28.02.2019;28.02.2019;-;-;13371,912;-;0;0;0;-;-;-;-0,899690722;0;1;332,62102584
300007;Firma;J;-;0;0;1;10;-;-;-;-;4298;-;0;0;0;-;-;-;-1,78048433;0;0;0
300011;Herrn;N;80;0;0;7;14;-;-;-;-;46620,951;-;0;0;0;-;-;-;-0,783865031;0;0;406,74715791
300012;Frau;N;-;1;0;1;5;-;-;-;-;144;-;0;0;0;-;-;-;-0,622941176;0;0;0
300013;Herrn;N;-;0;0;3;14;-;-;-;-;90009,7;-;0;0;0;-;-;-;-3,013424069;0;0;804,411403
300016;Frau;N;89;0;0;2;14;-;-;-;-;1811;-;0;0;0;-;-;-;-2,268571429;0;0;54,81691
300018;Herrn;N;89;0;0;2;14;-;-;-;-;2757,5;-;0;0;0;-;-;-;-2,052033898;0;0;141,814115
300022;Herrn;N;63;1;0;2;14;-;-;-;-;403;-;0;0;0;1;0;11.12.2018;-1,646153846;0;0;18,41279
300023;Frau;N;85;0;0;2;14;-;-;-;-;34738;-;0;0;0;-;-;-;-2,552344498;0;0;233,54068
300025;Herrn;N;-;0;0;2;14;-;-;-;-;10817,7;-;0;0;0;-;-;-;-0,75954955;0;0;164,362683
300029;Hausverwaltung;J;-;0;0;47;15;31.03.2018;31.08.2019;-;-;917540,176;404,97;0;0;0;-;-;-;-1,339511787;0;1;4489,73914144
300030;Herrn;N;88;0;0;1;14;-;-;-;-;2793,7;-;0;0;0;-;-;-;-1,18;0;0;80,788183
300032;Frau;N;84;0;0;2;14;-;-;-;-;3117;-;0;0;0;-;-;-;-2,144237288;0;0;112,67157
300033;Frau;N;95;0;0;3;14;-;-;-;-;49999,765;-;0;0;0;-;-;-;-1,336933594;0;0;75,136231
300035;Herrn;N;91;0;0;6;14;-;-;-;-;26929,4;-;0;0;0;-;-;-;-2,266432432;0;0;378,846746
300039;Herrn;N;-;0;0;1;14;-;-;-;-;2677,7;-;0;0;0;-;-;-;-1,666962025;0;0;121,720143
300041;Frau;N;-;0;0;3;14;-;-;-;-;24951,26;-;0;0;0;-;-;-;-1,665622318;0;0;379,3072042
300042;Frau;N;66;0;0;2;14;30.04.2018;30.04.2018;-;-;27610,999;-;0;0;0;-;-;-;1,9158;1;1;414,37924308
300043;Herrn;N;-;0;0;2;14;-;-;-;-;16906,511;-;0;0;0;-;-;-;-0,502666667;0;0;186,95203467
300044;Frau;N;78;0;0;2;8;-;-;-;-;12934,602;-;0;0;0;-;-;-;-1,55649635;0;0;204,51583914
300046;Eigentümergemeinschaft;J;-;0;0;2;14;-;-;-;-;23334,794;-;0;0;0;-;-;-;-0,036575342;0;0;152,80739098
300050;Herrn;N;88;0;0;3;14;-;-;-;-;32183,207;-;0;0;0;-;-;-;-2,627276423;0;0;260,94435079
300052;Frau;N;-;0;1;2;14;31.07.2018;22.11.2018;-;-;24550,576;-;0;0;0;-;-;-;-3,417692308;0;1;411,35365912
300054;Firma;J;-;0;0;3;14;-;-;-;-;52859,4;-;0;0;0;-;-;-;-2,096734982;0;0;2028,509506
300055;Herrn;N;91;0;0;3;14;-;-;-;-;33781,83;-;0;0;0;-;-;-;-1,160923695;0;0;271,6093231
